fecha,Estacion,Fecha final,NO2,CO,PM2.5,PM10,SO2,datos_disponibles
2023-05-08,FACATATIVA - URBANO,,,,14.00416667,32.97291667,,2
2023-05-09,FACATATIVA - URBANO,,,,8.13083333,21.38291667,,2
2023-05-10,FACATATIVA - URBANO,,,,12.94041667,28.49782609,,2
2023-05-11,FACATATIVA - URBANO,,,,8.94916667,22.26125,,2
2023-05-12,FACATATIVA - URBANO,,,,10.66916667,27.92125,,2
2023-05-13,FACATATIVA - URBANO,,,,10.30833333,22.47291667,,2
2023-05-14,FACATATIVA - URBANO,,,,4.88708333,10.61875,,2
2023-05-15,FACATATIVA - URBANO,,,,7.74666667,21.4075,,2
2023-05-16,FACATATIVA - URBANO,,,,12.74,25.46043478,,2
2023-05-17,FACATATIVA - URBANO,,,,11.43,23.9525,,2
2023-05-18,FACATATIVA - URBANO,,,,9.28875,19.62333333,,2
2023-05-19,FACATATIVA - URBANO,,,,7.76916667,20.69666667,,2
2023-05-20,FACATATIVA - URBANO,,,,8.73166667,22.62625,,2
2023-05-21,FACATATIVA - URBANO,,,,10.06583333,19.40333333,,2
2023-05-22,FACATATIVA - URBANO,,,,6.94791667,25.83833333,,2
2023-05-23,FACATATIVA - URBANO,,,,9.77666667,16.0575,,2
2023-05-24,FACATATIVA - URBANO,,,,13.28375,21.48304348,,2
2023-05-25,FACATATIVA - URBANO,,,,5.45217391,11.82291667,,2
2023-05-26,FACATATIVA - URBANO,,,,8.94291667,23.05166667,,2
2023-05-27,FACATATIVA - URBANO,,,,8.82,20.7775,,2
2023-05-28,FACATATIVA - URBANO,,,,5.8475,14.26125,,2
2023-05-29,FACATATIVA - URBANO,,,,11.73541667,26.65916667,,2
2023-05-30,FACATATIVA - URBANO,,,,8.7275,24.15416667,,2
2023-05-31,FACATATIVA - URBANO,,,,8.42375,21.21666667,,2
2023-06-01,FACATATIVA - URBANO,,,,5.81333333,13.32333333,,2
2023-06-02,FACATATIVA - URBANO,,,,6.73333333,16.47208333,,2
