fecha,Estacion,Fecha final,NO2,CO,PM2.5,PM10,SO2,datos_disponibles
2025-10-22,FACATATIVA - URBANO,,23.71041667,735.18541667,13.42375,30.51333333,8.34166667,5
2025-10-21,FACATATIVA - URBANO,,22.93125,1015.71041667,17.5225,34.7075,8.38208333,5
2025-10-20,FACATATIVA - URBANO,,20.91875,991.37916667,14.39083333,31.00416667,8.03391304,5
2025-10-19,FACATATIVA - URBANO,,14.34416667,1280.01458333,10.53416667,21.15583333,8.40666667,5
2025-10-18,FACATATIVA - URBANO,,20.53,1304.82291667,9.44125,20.35291667,8.3,5
2025-10-17,FACATATIVA - URBANO,,22.01916667,1391.175,16.48916667,33.99166667,9.3275,5
2025-10-16,FACATATIVA - URBANO,,24.34208333,1278.10625,12.29291667,28.07375,8.32958333,5
2025-10-15,FACATATIVA - URBANO,,21.99416667,1401.19375,16.5075,35.77,8.6875,5
2025-10-14,FACATATIVA - URBANO,,22.08041667,1240.24318182,12.69041667,26.45708333,8.06083333,5
2025-10-13,FACATATIVA - URBANO,,20.06666667,844.4375,6.16833333,11.70291667,8.32916667,5
2025-10-12,FACATATIVA - URBANO,,19.03875,840.14375,4.52833333,8.79333333,8.3125,5
2025-10-11,FACATATIVA - URBANO,,21.37,1072.48333333,10.55833333,19.40916667,8.62791667,5
2025-10-10,FACATATIVA - URBANO,,22.76291667,986.13125,11.27583333,21.66583333,8.32347826,5
2025-10-09,FACATATIVA - URBANO,,23.60958333,1150.24791667,17.3225,36.83666667,9.05458333,5
2025-10-08,FACATATIVA - URBANO,,20.0575,1309.59375,18.305,46.13708333,8.77041667,5
2025-10-07,FACATATIVA - URBANO,,23.92958333,1074.86875,13.05583333,24.21291667,7.63916667,5
2025-10-06,FACATATIVA - URBANO,,22.58458333,1119.2375,15.25416667,31.40041667,8.78583333,5
2025-10-05,FACATATIVA - URBANO,,20.52166667,746.15833333,7.71173913,15.77416667,8.41916667,5
2025-10-04,FACATATIVA - URBANO,,22.86,1062.46458333,15.69958333,31.305,9.1,5
2025-10-03,FACATATIVA - URBANO,,28.50708333,676.50416667,9.70333333,19.30625,8.56666667,5
2025-10-02,FACATATIVA - URBANO,,38.09166667,708.46875,12.05,27.3825,7.83541667,5
2025-10-01,FACATATIVA - URBANO,,23.94916667,880.69583333,7.80083333,17.97666667,7.56875,5
2025-09-30,FACATATIVA - URBANO,,22.87583333,920.77083333,4.71875,9.40708333,8.08,5
