"Estacion","Fecha inicial","Fecha final","CO"
"FACATATIVA - URBANO","2025-11-02","","1299.575"
"FACATATIVA - URBANO","2025-11-01","","1359.21041667"
"FACATATIVA - URBANO","2025-10-31","","1178.39583333"
"FACATATIVA - URBANO","2025-10-30","","1331.53958333"
"FACATATIVA - URBANO","2025-10-29","","1192.23125"
"FACATATIVA - URBANO","2025-10-28","","941.28541667"
"FACATATIVA - URBANO","2025-10-27","","889.28333333"
"FACATATIVA - URBANO","2025-10-26","","676.98125"
"FACATATIVA - URBANO","2025-10-25","","817.24375"
"FACATATIVA - URBANO","2025-10-24","","666.48541667"
"FACATATIVA - URBANO","2025-10-23","","739.27173913"
"FACATATIVA - URBANO","2025-10-22","","735.18541667"
"FACATATIVA - URBANO","2025-10-21","","1015.71041667"
"FACATATIVA - URBANO","2025-10-20","","991.37916667"
"FACATATIVA - URBANO","2025-10-19","","1280.01458333"
"FACATATIVA - URBANO","2025-10-18","","1304.82291667"
"FACATATIVA - URBANO","2025-10-17","","1391.175"
"FACATATIVA - URBANO","2025-10-16","","1278.10625"
"FACATATIVA - URBANO","2025-10-15","","1401.19375"
"FACATATIVA - URBANO","2025-10-14","","1240.24318182"
"FACATATIVA - URBANO","2025-10-13","","844.4375"
"FACATATIVA - URBANO","2025-10-12","","840.14375"
"FACATATIVA - URBANO","2025-10-11","","1072.48333333"
"FACATATIVA - URBANO","2025-10-10","","986.13125"
"FACATATIVA - URBANO","2025-10-09","","1150.24791667"
"FACATATIVA - URBANO","2025-10-08","","1309.59375"
"FACATATIVA - URBANO","2025-10-07","","1074.86875"
"FACATATIVA - URBANO","2025-10-06","","1119.2375"
"FACATATIVA - URBANO","2025-10-05","","746.15833333"
"FACATATIVA - URBANO","2025-10-04","","1062.46458333"
"FACATATIVA - URBANO","2025-10-03","","676.50416667"
"FACATATIVA - URBANO","2025-10-02","","708.46875"
"FACATATIVA - URBANO","2025-10-01","","880.69583333"
"FACATATIVA - URBANO","2025-09-30","","920.77083333"
"FACATATIVA - URBANO","2025-09-29","","1110.17291667"
"FACATATIVA - URBANO","2025-09-28","","968.00208333"
"FACATATIVA - URBANO","2025-09-27","","798.16041667"
"FACATATIVA - URBANO","2025-09-26","","957.98333333"
"FACATATIVA - URBANO","2025-09-25","","787.66458333"
"FACATATIVA - URBANO","2025-09-24","","671.73333333"
"FACATATIVA - URBANO","2025-09-23","","923.63333333"
"FACATATIVA - URBANO","2025-09-22","","1207.02083333"
"FACATATIVA - URBANO","2025-09-21","","872.58541667"
"FACATATIVA - URBANO","2025-09-20","","623.07083333"
"FACATATIVA - URBANO","2025-09-19","","578.225"
"FACATATIVA - URBANO","2025-09-18","","650.26458333"
"FACATATIVA - URBANO","2025-09-17","","1305.77708333"
"FACATATIVA - URBANO","2025-09-16","","1096.3375"
"FACATATIVA - URBANO","2025-09-15","","799.50869565"
"FACATATIVA - URBANO","2025-09-14","","899.46111111"
"FACATATIVA - URBANO","2025-09-13","","901.6875"
"FACATATIVA - URBANO","2025-09-12","","971.81875"
"FACATATIVA - URBANO","2025-09-11","","894.53125"
"FACATATIVA - URBANO","2025-09-10","","896.91666667"
"FACATATIVA - URBANO","2025-09-09","","787.66458333"
"FACATATIVA - URBANO","2025-09-08","","739.95625"
"FACATATIVA - URBANO","2025-09-07","","573.45416667"
"FACATATIVA - URBANO","2025-09-06","","771.92083333"
"FACATATIVA - URBANO","2025-09-05","","830.125"
"FACATATIVA - URBANO","2025-09-04","","663.10434783"
"FACATATIVA - URBANO","2025-09-03","","707.0375"
"FACATATIVA - URBANO","2025-09-02","","554.84791667"
"FACATATIVA - URBANO","2025-09-01","","715.14791667"
"FACATATIVA - URBANO","2025-08-31","","468.49583333"
"FACATATIVA - URBANO","2025-08-30","","831.07916667"
"FACATATIVA - URBANO","2025-08-29","","1015.71041667"
"FACATATIVA - URBANO","2025-08-28","","690.81666667"
"FACATATIVA - URBANO","2025-08-27","","613.05208333"
"FACATATIVA - URBANO","2025-08-26","","1020.09090909"
"FACATATIVA - URBANO","2025-08-25","","799.59166667"
"FACATATIVA - URBANO","2025-08-24","","876.40208333"
"FACATATIVA - URBANO","2025-08-23","","959.41458333"
"FACATATIVA - URBANO","2025-08-22","","933.65208333"
"FACATATIVA - URBANO","2025-08-21","","907.53695652"
"FACATATIVA - URBANO","2025-08-20","","1153.11041667"
"FACATATIVA - URBANO","2025-08-19","","893.1"
"FACATATIVA - URBANO","2025-08-18","","453.22916667"
"FACATATIVA - URBANO","2025-08-17","","582.04166667"
"FACATATIVA - URBANO","2025-08-16","","693.67916667"
"FACATATIVA - URBANO","2025-08-15","","743.29583333"
"FACATATIVA - URBANO","2025-08-14","","887.85208333"
