"Estacion","Fecha inicial","Fecha final","PM2.5"
"FACATATIVA - URBANO","2025-11-09","","11.74347826"
"FACATATIVA - URBANO","2025-11-08","","17.64"
"FACATATIVA - URBANO","2025-11-07","","18.46333333"
"FACATATIVA - URBANO","2025-11-06","","15.695"
"FACATATIVA - URBANO","2025-11-05","","18.72083333"
"FACATATIVA - URBANO","2025-11-04","","16.35"
"FACATATIVA - URBANO","2025-11-03","","9.15958333"
"FACATATIVA - URBANO","2025-11-02","","12.34583333"
"FACATATIVA - URBANO","2025-11-01","","14.93041667"
"FACATATIVA - URBANO","2025-10-31","","15.52083333"
"FACATATIVA - URBANO","2025-10-30","","18.70541667"
"FACATATIVA - URBANO","2025-10-29","","14.50458333"
"FACATATIVA - URBANO","2025-10-28","","13.67958333"
"FACATATIVA - URBANO","2025-10-27","","15.29"
"FACATATIVA - URBANO","2025-10-26","","7.88695652"
"FACATATIVA - URBANO","2025-10-25","","10.89625"
"FACATATIVA - URBANO","2025-10-24","","9.13291667"
"FACATATIVA - URBANO","2025-10-23","","13.26958333"
"FACATATIVA - URBANO","2025-10-22","","13.42375"
"FACATATIVA - URBANO","2025-10-21","","17.5225"
"FACATATIVA - URBANO","2025-10-20","","14.39083333"
"FACATATIVA - URBANO","2025-10-19","","10.53416667"
"FACATATIVA - URBANO","2025-10-18","","9.44125"
"FACATATIVA - URBANO","2025-10-17","","16.48916667"
"FACATATIVA - URBANO","2025-10-16","","12.29291667"
"FACATATIVA - URBANO","2025-10-15","","16.5075"
"FACATATIVA - URBANO","2025-10-14","","12.69041667"
"FACATATIVA - URBANO","2025-10-13","","6.16833333"
"FACATATIVA - URBANO","2025-10-12","","4.52833333"
"FACATATIVA - URBANO","2025-10-11","","10.55833333"
"FACATATIVA - URBANO","2025-10-10","","11.27583333"
"FACATATIVA - URBANO","2025-10-09","","17.3225"
"FACATATIVA - URBANO","2025-10-08","","18.305"
"FACATATIVA - URBANO","2025-10-07","","13.05583333"
"FACATATIVA - URBANO","2025-10-06","","15.25416667"
"FACATATIVA - URBANO","2025-10-05","","7.71173913"
"FACATATIVA - URBANO","2025-10-04","","15.69958333"
"FACATATIVA - URBANO","2025-10-03","","9.70333333"
"FACATATIVA - URBANO","2025-10-02","","12.05"
"FACATATIVA - URBANO","2025-10-01","","7.80083333"
"FACATATIVA - URBANO","2025-09-30","","4.71875"
"FACATATIVA - URBANO","2025-09-29","","12.58833333"
"FACATATIVA - URBANO","2025-09-28","","11.48916667"
"FACATATIVA - URBANO","2025-09-27","","12.6125"
"FACATATIVA - URBANO","2025-09-26","","13.44916667"
"FACATATIVA - URBANO","2025-09-25","","9.8125"
"FACATATIVA - URBANO","2025-09-24","","9.16291667"
"FACATATIVA - URBANO","2025-09-23","","11.15583333"
"FACATATIVA - URBANO","2025-09-22","","14.04333333"
"FACATATIVA - URBANO","2025-09-21","","8.64625"
"FACATATIVA - URBANO","2025-09-20","","8.03875"
"FACATATIVA - URBANO","2025-09-19","","10.86333333"
"FACATATIVA - URBANO","2025-09-18","","9.70916667"
"FACATATIVA - URBANO","2025-09-17","","17.485"
"FACATATIVA - URBANO","2025-09-16","","11.80958333"
