"Estacion","Fecha inicial","Fecha final","PM10"
"FACATATIVA - URBANO","2025-11-09","","22.27956522"
"FACATATIVA - URBANO","2025-11-08","","34.96291667"
"FACATATIVA - URBANO","2025-11-07","","38.22208333"
"FACATATIVA - URBANO","2025-11-06","","36.19041667"
"FACATATIVA - URBANO","2025-11-05","","36.875"
"FACATATIVA - URBANO","2025-11-04","","32.31875"
"FACATATIVA - URBANO","2025-11-03","","20.73958333"
"FACATATIVA - URBANO","2025-11-02","","26.08041667"
"FACATATIVA - URBANO","2025-11-01","","35.09458333"
"FACATATIVA - URBANO","2025-10-31","","40.62708333"
"FACATATIVA - URBANO","2025-10-30","","45.10458333"
"FACATATIVA - URBANO","2025-10-29","","38.52375"
"FACATATIVA - URBANO","2025-10-28","","31.21791667"
"FACATATIVA - URBANO","2025-10-27","","33.42875"
"FACATATIVA - URBANO","2025-10-26","","15.82869565"
"FACATATIVA - URBANO","2025-10-25","","23.20625"
"FACATATIVA - URBANO","2025-10-24","","18.22333333"
"FACATATIVA - URBANO","2025-10-23","","23.39458333"
"FACATATIVA - URBANO","2025-10-22","","30.51333333"
"FACATATIVA - URBANO","2025-10-21","","34.7075"
"FACATATIVA - URBANO","2025-10-20","","31.00416667"
"FACATATIVA - URBANO","2025-10-19","","21.15583333"
"FACATATIVA - URBANO","2025-10-18","","20.35291667"
"FACATATIVA - URBANO","2025-10-17","","33.99166667"
"FACATATIVA - URBANO","2025-10-16","","28.07375"
"FACATATIVA - URBANO","2025-10-15","","35.77"
"FACATATIVA - URBANO","2025-10-14","","26.45708333"
"FACATATIVA - URBANO","2025-10-13","","11.70291667"
"FACATATIVA - URBANO","2025-10-12","","8.79333333"
"FACATATIVA - URBANO","2025-10-11","","19.40916667"
"FACATATIVA - URBANO","2025-10-10","","21.66583333"
"FACATATIVA - URBANO","2025-10-09","","36.83666667"
"FACATATIVA - URBANO","2025-10-08","","46.13708333"
"FACATATIVA - URBANO","2025-10-07","","24.21291667"
"FACATATIVA - URBANO","2025-10-06","","31.40041667"
"FACATATIVA - URBANO","2025-10-05","","15.77416667"
"FACATATIVA - URBANO","2025-10-04","","31.305"
"FACATATIVA - URBANO","2025-10-03","","19.30625"
"FACATATIVA - URBANO","2025-10-02","","27.3825"
"FACATATIVA - URBANO","2025-10-01","","17.97666667"
"FACATATIVA - URBANO","2025-09-30","","9.40708333"
"FACATATIVA - URBANO","2025-09-29","","29.1325"
"FACATATIVA - URBANO","2025-09-28","","21.4575"
"FACATATIVA - URBANO","2025-09-27","","25.85708333"
"FACATATIVA - URBANO","2025-09-26","","32.61958333"
"FACATATIVA - URBANO","2025-09-25","","22.63291667"
"FACATATIVA - URBANO","2025-09-24","","22.86291667"
"FACATATIVA - URBANO","2025-09-23","","24.8825"
"FACATATIVA - URBANO","2025-09-22","","28.44958333"
"FACATATIVA - URBANO","2025-09-21","","16.18625"
"FACATATIVA - URBANO","2025-09-20","","15.37708333"
"FACATATIVA - URBANO","2025-09-19","","17.44041667"
"FACATATIVA - URBANO","2025-09-18","","17.6675"
"FACATATIVA - URBANO","2025-09-17","","34.685"
"FACATATIVA - URBANO","2025-09-16","","25.57541667"
"FACATATIVA - URBANO","2025-09-15","","19.90958333"
"FACATATIVA - URBANO","2025-09-14","","23.66916667"
"FACATATIVA - URBANO","2025-09-13","","28.93458333"
"FACATATIVA - URBANO","2025-09-12","","30.55333333"
"FACATATIVA - URBANO","2025-09-11","","29.84416667"
"FACATATIVA - URBANO","2025-09-10","","33.62708333"
"FACATATIVA - URBANO","2025-09-09","","24.51166667"
"FACATATIVA - URBANO","2025-09-08","","20.07083333"
"FACATATIVA - URBANO","2025-09-07","","13.68833333"
"FACATATIVA - URBANO","2025-09-06","","22.34166667"
"FACATATIVA - URBANO","2025-09-05","","27.67791667"
"FACATATIVA - URBANO","2025-09-04","","21.70208333"
"FACATATIVA - URBANO","2025-09-03","","30.74583333"
"FACATATIVA - URBANO","2025-09-02","","21.36041667"
"FACATATIVA - URBANO","2025-09-01","","20.02958333"
"FACATATIVA - URBANO","2025-08-31","","10.5125"
"FACATATIVA - URBANO","2025-08-30","","24.89208333"
"FACATATIVA - URBANO","2025-08-29","","32.69958333"
"FACATATIVA - URBANO","2025-08-28","","25.925"
"FACATATIVA - URBANO","2025-08-27","","23.40625"
"FACATATIVA - URBANO","2025-08-26","","29.95454545"
"FACATATIVA - URBANO","2025-08-25","","16.54083333"
"FACATATIVA - URBANO","2025-08-24","","15.29625"
"FACATATIVA - URBANO","2025-08-23","","22.5975"
"FACATATIVA - URBANO","2025-08-22","","27.30041667"
"FACATATIVA - URBANO","2025-08-21","","25.21083333"
"FACATATIVA - URBANO","2025-08-20","","33.37833333"
"FACATATIVA - URBANO","2025-08-19","","26.90083333"
"FACATATIVA - URBANO","2025-08-18","","11.71416667"
"FACATATIVA - URBANO","2025-08-17","","9.89125"
"FACATATIVA - URBANO","2025-08-16","","20.235"
"FACATATIVA - URBANO","2025-08-15","","25.49416667"
"FACATATIVA - URBANO","2025-08-14","","29.05583333"
"FACATATIVA - URBANO","2025-08-13","","41.51916667"
"FACATATIVA - URBANO","2025-08-12","","24.66875"
"FACATATIVA - URBANO","2025-08-11","","20.98791667"
"FACATATIVA - URBANO","2025-08-10","","11.85416667"
"FACATATIVA - URBANO","2025-08-09","","12.37875"
"FACATATIVA - URBANO","2025-08-08","","15.48083333"
"FACATATIVA - URBANO","2025-08-07","","14.40416667"
"FACATATIVA - URBANO","2025-08-06","","33.29333333"
"FACATATIVA - URBANO","2025-08-05","","29.42958333"
"FACATATIVA - URBANO","2025-08-04","","17.44708333"
"FACATATIVA - URBANO","2025-08-03","","6.75791667"
"FACATATIVA - URBANO","2025-08-02","","18.46333333"
"FACATATIVA - URBANO","2025-08-01","","23.81833333"
"FACATATIVA - URBANO","2025-07-31","","25.34916667"
"FACATATIVA - URBANO","2025-07-30","","17.2575"
"FACATATIVA - URBANO","2025-07-29","","21.815"
"FACATATIVA - URBANO","2025-07-28","","20.62791667"
"FACATATIVA - URBANO","2025-07-27","","10.20416667"
"FACATATIVA - URBANO","2025-07-26","","23.08166667"
"FACATATIVA - URBANO","2025-07-25","","19.7025"
"FACATATIVA - URBANO","2025-07-24","","20.555"
"FACATATIVA - URBANO","2025-07-23","","19.50125"
"FACATATIVA - URBANO","2025-07-22","","21.01916667"
"FACATATIVA - URBANO","2025-07-21","","12.1675"
"FACATATIVA - URBANO","2025-07-20","","11.98541667"
"FACATATIVA - URBANO","2025-07-19","","15.69708333"
"FACATATIVA - URBANO","2025-07-18","","21.68"
"FACATATIVA - URBANO","2025-07-17","","23.30791667"
"FACATATIVA - URBANO","2025-07-16","","25.366"
"FACATATIVA - URBANO","2025-07-15","","25.613"
"FACATATIVA - URBANO","2025-07-14","","16.2675"
"FACATATIVA - URBANO","2025-07-13","","13.87083333"
"FACATATIVA - URBANO","2025-07-12","","19.055"
"FACATATIVA - URBANO","2025-07-11","","21.90625"
"FACATATIVA - URBANO","2025-07-10","","19.62041667"
"FACATATIVA - URBANO","2025-07-09","","22.08833333"
