"Estacion","Fecha inicial","Fecha final","SO2"
"FACATATIVA - URBANO","2025-11-02","","9.08166667"
"FACATATIVA - URBANO","2025-11-01","","8.895"
"FACATATIVA - URBANO","2025-10-31","","8.57958333"
"FACATATIVA - URBANO","2025-10-30","","8.92708333"
"FACATATIVA - URBANO","2025-10-29","","9.0475"
"FACATATIVA - URBANO","2025-10-28","","7.82"
"FACATATIVA - URBANO","2025-10-27","","8.20208333"
"FACATATIVA - URBANO","2025-10-26","","7.95958333"
"FACATATIVA - URBANO","2025-10-25","","7.97125"
"FACATATIVA - URBANO","2025-10-24","","8.17458333"
"FACATATIVA - URBANO","2025-10-23","","8.12125"
"FACATATIVA - URBANO","2025-10-22","","8.34166667"
"FACATATIVA - URBANO","2025-10-21","","8.38208333"
"FACATATIVA - URBANO","2025-10-20","","8.03391304"
"FACATATIVA - URBANO","2025-10-19","","8.40666667"
"FACATATIVA - URBANO","2025-10-18","","8.3"
"FACATATIVA - URBANO","2025-10-17","","9.3275"
"FACATATIVA - URBANO","2025-10-16","","8.32958333"
"FACATATIVA - URBANO","2025-10-15","","8.6875"
"FACATATIVA - URBANO","2025-10-14","","8.06083333"
"FACATATIVA - URBANO","2025-10-13","","8.32916667"
"FACATATIVA - URBANO","2025-10-12","","8.3125"
"FACATATIVA - URBANO","2025-10-11","","8.62791667"
"FACATATIVA - URBANO","2025-10-10","","8.32347826"
"FACATATIVA - URBANO","2025-10-09","","9.05458333"
"FACATATIVA - URBANO","2025-10-08","","8.77041667"
"FACATATIVA - URBANO","2025-10-07","","7.63916667"
"FACATATIVA - URBANO","2025-10-06","","8.78583333"
"FACATATIVA - URBANO","2025-10-05","","8.41916667"
"FACATATIVA - URBANO","2025-10-04","","9.1"
"FACATATIVA - URBANO","2025-10-03","","8.56666667"
"FACATATIVA - URBANO","2025-10-02","","7.83541667"
"FACATATIVA - URBANO","2025-10-01","","7.56875"
"FACATATIVA - URBANO","2025-09-30","","8.08"
"FACATATIVA - URBANO","2025-09-29","","8.21208333"
"FACATATIVA - URBANO","2025-09-28","","8.56041667"
"FACATATIVA - URBANO","2025-09-27","","8.88166667"
"FACATATIVA - URBANO","2025-09-26","","8.72625"
"FACATATIVA - URBANO","2025-09-25","","2.39666667"
"FACATATIVA - URBANO","2025-09-24","","2.58708333"
"FACATATIVA - URBANO","2025-09-23","","2.91166667"
"FACATATIVA - URBANO","2025-09-22","","3.29083333"
"FACATATIVA - URBANO","2025-09-21","","3.775"
"FACATATIVA - URBANO","2025-09-20","","2.74375"
"FACATATIVA - URBANO","2025-09-19","","2.9875"
"FACATATIVA - URBANO","2025-09-18","","2.40791667"
"FACATATIVA - URBANO","2025-09-17","","3.58583333"
"FACATATIVA - URBANO","2025-09-16","","3.05458333"
"FACATATIVA - URBANO","2025-09-15","","3.00208333"
"FACATATIVA - URBANO","2025-09-14","","3.4"
"FACATATIVA - URBANO","2025-09-13","","3.04478261"
"FACATATIVA - URBANO","2025-09-12","","3.63166667"
"FACATATIVA - URBANO","2025-09-11","","3.54041667"
"FACATATIVA - URBANO","2025-09-10","","3.45583333"
"FACATATIVA - URBANO","2025-09-09","","3.47"
"FACATATIVA - URBANO","2025-09-08","","4.0925"
"FACATATIVA - URBANO","2025-09-07","","2.78791667"
"FACATATIVA - URBANO","2025-09-06","","3.69958333"
"FACATATIVA - URBANO","2025-09-05","","3.40416667"
"FACATATIVA - URBANO","2025-09-04","","3.15833333"
"FACATATIVA - URBANO","2025-09-03","","3.59363636"
"FACATATIVA - URBANO","2025-09-02","","3.13625"
"FACATATIVA - URBANO","2025-09-01","","3.05875"
"FACATATIVA - URBANO","2025-08-31","","2.51791667"
"FACATATIVA - URBANO","2025-08-30","","2.40583333"
"FACATATIVA - URBANO","2025-08-29","","3.2826087"
"FACATATIVA - URBANO","2025-08-28","","3.00642857"
"FACATATIVA - URBANO","2025-08-27","","3.0973913"
"FACATATIVA - URBANO","2025-08-26","","3.24470588"
"FACATATIVA - URBANO","2025-08-25","","3.77541667"
"FACATATIVA - URBANO","2025-08-24","","3.05666667"
"FACATATIVA - URBANO","2025-08-23","","3.31217391"
"FACATATIVA - URBANO","2025-08-22","","2.79866667"
"FACATATIVA - URBANO","2025-08-21","","3.69181818"
"FACATATIVA - URBANO","2025-08-20","","4.39791667"
"FACATATIVA - URBANO","2025-08-19","","3.31695652"
"FACATATIVA - URBANO","2025-08-18","","3.35291667"
"FACATATIVA - URBANO","2025-08-17","","3.13708333"
"FACATATIVA - URBANO","2025-08-16","","3.505"
"FACATATIVA - URBANO","2025-08-15","","3.63541667"
"FACATATIVA - URBANO","2025-08-14","","3.87041667"
"FACATATIVA - URBANO","2025-08-13","","4.04666667"
"FACATATIVA - URBANO","2025-08-12","","4.09208333"
"FACATATIVA - URBANO","2025-08-11","","3.21875"
"FACATATIVA - URBANO","2025-08-10","","2.93166667"
"FACATATIVA - URBANO","2025-08-09","","3.1625"
"FACATATIVA - URBANO","2025-08-08","","3.1725"
"FACATATIVA - URBANO","2025-08-07","","3.17"
"FACATATIVA - URBANO","2025-08-06","","2.06958333"
"FACATATIVA - URBANO","2025-08-05","","4.23458333"
"FACATATIVA - URBANO","2025-08-04","","3.95227273"
"FACATATIVA - URBANO","2025-08-03","","4.72583333"
"FACATATIVA - URBANO","2025-08-02","","5.23708333"
"FACATATIVA - URBANO","2025-08-01","","4.76217391"
"FACATATIVA - URBANO","2025-07-31","","5.185"
"FACATATIVA - URBANO","2025-07-30","","4.765"
"FACATATIVA - URBANO","2025-07-29","","4.96791667"
"FACATATIVA - URBANO","2025-07-28","","4.71208333"
"FACATATIVA - URBANO","2025-07-27","","4.36791667"
"FACATATIVA - URBANO","2025-07-26","","5.0425"
"FACATATIVA - URBANO","2025-07-25","","4.99166667"
"FACATATIVA - URBANO","2025-07-24","","1.80208333"
"FACATATIVA - URBANO","2025-07-23","","1.03916667"
"FACATATIVA - URBANO","2025-07-22","","0.83826087"
"FACATATIVA - URBANO","2025-07-21","","0.4875"
"FACATATIVA - URBANO","2025-07-20","","0.84291667"
"FACATATIVA - URBANO","2025-07-19","","1.00833333"
"FACATATIVA - URBANO","2025-07-18","","0.72217391"
"FACATATIVA - URBANO","2025-07-17","","1.45791667"
"FACATATIVA - URBANO","2025-07-16","","1.72533333"
"FACATATIVA - URBANO","2025-07-14","","5.489375"
"FACATATIVA - URBANO","2025-07-13","","4.41826087"
"FACATATIVA - URBANO","2025-07-12","","3.89"
"FACATATIVA - URBANO","2025-07-11","","4.3375"
"FACATATIVA - URBANO","2025-07-10","","4.71833333"
"FACATATIVA - URBANO","2025-07-09","","4.89833333"
"FACATATIVA - URBANO","2025-07-08","","4.54333333"
"FACATATIVA - URBANO","2025-07-07","","5.50541667"
"FACATATIVA - URBANO","2025-07-06","","4.56583333"
"FACATATIVA - URBANO","2025-07-05","","4.50666667"
"FACATATIVA - URBANO","2025-07-04","","4.28708333"
"FACATATIVA - URBANO","2025-07-03","","4.81833333"
"FACATATIVA - URBANO","2025-07-02","","5.0475"
"FACATATIVA - URBANO","2025-07-01","","4.47833333"
"FACATATIVA - URBANO","2025-06-30","","2.97333333"
"FACATATIVA - URBANO","2025-06-29","","3.74416667"
"FACATATIVA - URBANO","2025-06-28","","3.07541667"
"FACATATIVA - URBANO","2025-06-27","","6.20666667"
"FACATATIVA - URBANO","2025-06-26","","8.54541667"
"FACATATIVA - URBANO","2025-06-25","","9.46909091"
"FACATATIVA - URBANO","2025-06-24","","8.46666667"
"FACATATIVA - URBANO","2025-06-23","","8.725"
"FACATATIVA - URBANO","2025-06-22","","8.49125"
"FACATATIVA - URBANO","2025-06-21","","8.25375"
"FACATATIVA - URBANO","2025-06-20","","6.63916667"
"FACATATIVA - URBANO","2025-06-19","","8.33708333"
"FACATATIVA - URBANO","2025-06-18","","8.56875"
"FACATATIVA - URBANO","2025-06-17","","8.57791667"
"FACATATIVA - URBANO","2025-06-16","","8.61291667"
"FACATATIVA - URBANO","2025-06-15","","8.99291667"
"FACATATIVA - URBANO","2025-06-14","","8.18791667"
"FACATATIVA - URBANO","2025-06-13","","8.17041667"
"FACATATIVA - URBANO","2025-06-12","","8.25166667"
"FACATATIVA - URBANO","2025-06-11","","8.13791667"
"FACATATIVA - URBANO","2025-06-10","","4.39933333"
"FACATATIVA - URBANO","2025-06-09","","6.17958333"
"FACATATIVA - URBANO","2025-06-08","","6.19333333"
"FACATATIVA - URBANO","2025-06-07","","6.09625"
"FACATATIVA - URBANO","2025-06-06","","6.29958333"
"FACATATIVA - URBANO","2025-06-05","","6.3575"
"FACATATIVA - URBANO","2025-06-04","","6.18958333"
"FACATATIVA - URBANO","2025-06-03","","6.07041667"
"FACATATIVA - URBANO","2025-06-02","","6.11125"
"FACATATIVA - URBANO","2025-06-01","","6.18166667"
"FACATATIVA - URBANO","2025-05-31","","6.22916667"
"FACATATIVA - URBANO","2025-05-30","","5.77541667"
"FACATATIVA - URBANO","2025-05-29","","6.38875"
"FACATATIVA - URBANO","2025-05-28","","6.06875"
"FACATATIVA - URBANO","2025-05-27","","7.005"
"FACATATIVA - URBANO","2025-05-26","","6.12090909"
"FACATATIVA - URBANO","2025-05-25","","4.38375"
"FACATATIVA - URBANO","2025-05-24","","4.34541667"
"FACATATIVA - URBANO","2025-05-23","","5.13125"
"FACATATIVA - URBANO","2025-05-22","","5.22708333"
"FACATATIVA - URBANO","2025-05-21","","5.18041667"
"FACATATIVA - URBANO","2025-05-20","","5.92541667"
"FACATATIVA - URBANO","2025-05-19","","5.9825"
"FACATATIVA - URBANO","2025-05-18","","5.94708333"
"FACATATIVA - URBANO","2025-05-17","","5.87333333"
"FACATATIVA - URBANO","2025-05-16","","6.17347826"
"FACATATIVA - URBANO","2025-05-15","","6.36521739"
"FACATATIVA - URBANO","2025-05-14","","6.96333333"
"FACATATIVA - URBANO","2025-05-13","","2.46041667"
"FACATATIVA - URBANO","2025-05-12","","5.90380952"
"FACATATIVA - URBANO","2025-05-11","","6.46916667"
"FACATATIVA - URBANO","2025-05-10","","6.3325"
"FACATATIVA - URBANO","2025-05-09","","6.335"
"FACATATIVA - URBANO","2025-05-08","","6.18416667"
"FACATATIVA - URBANO","2025-05-07","","6.0175"
"FACATATIVA - URBANO","2025-05-06","","6.21375"
"FACATATIVA - URBANO","2025-05-05","","5.95666667"
"FACATATIVA - URBANO","2025-05-04","","5.91208333"
"FACATATIVA - URBANO","2025-05-03","","5.69333333"
"FACATATIVA - URBANO","2025-05-02","","5.69458333"
"FACATATIVA - URBANO","2025-05-01","","5.59125"
"FACATATIVA - URBANO","2025-04-30","","5.39791667"
"FACATATIVA - URBANO","2025-04-29","","8.8305"
"FACATATIVA - URBANO","2025-04-28","","3.98208333"
"FACATATIVA - URBANO","2025-04-27","","5.0175"
"FACATATIVA - URBANO","2025-04-26","","4.41708333"
"FACATATIVA - URBANO","2025-04-25","","4.26791667"
"FACATATIVA - URBANO","2025-04-24","","2.67833333"
"FACATATIVA - URBANO","2025-04-23","","4.38375"
"FACATATIVA - URBANO","2025-04-22","","4.61166667"
"FACATATIVA - URBANO","2025-04-21","","4.10291667"
"FACATATIVA - URBANO","2025-04-20","","4.41916667"
