"Estacion","Fecha inicial","Fecha final","NO2"
"FACATATIVA - URBANO","2025-11-02","","16.92833333"
"FACATATIVA - URBANO","2025-11-01","","19.51791667"
"FACATATIVA - URBANO","2025-10-31","","18.55708333"
"FACATATIVA - URBANO","2025-10-30","","21.30583333"
"FACATATIVA - URBANO","2025-10-29","","18.72041667"
"FACATATIVA - URBANO","2025-10-28","","16.97375"
"FACATATIVA - URBANO","2025-10-27","","21.78125"
"FACATATIVA - URBANO","2025-10-26","","21.22458333"
"FACATATIVA - URBANO","2025-10-25","","23.6675"
"FACATATIVA - URBANO","2025-10-24","","24.21958333"
"FACATATIVA - URBANO","2025-10-23","","23.05291667"
"FACATATIVA - URBANO","2025-10-22","","23.71041667"
"FACATATIVA - URBANO","2025-10-21","","22.93125"
"FACATATIVA - URBANO","2025-10-20","","20.91875"
"FACATATIVA - URBANO","2025-10-19","","14.34416667"
"FACATATIVA - URBANO","2025-10-18","","20.53"
"FACATATIVA - URBANO","2025-10-17","","22.01916667"
"FACATATIVA - URBANO","2025-10-16","","24.34208333"
"FACATATIVA - URBANO","2025-10-15","","21.99416667"
"FACATATIVA - URBANO","2025-10-14","","22.08041667"
"FACATATIVA - URBANO","2025-10-13","","20.06666667"
"FACATATIVA - URBANO","2025-10-12","","19.03875"
"FACATATIVA - URBANO","2025-10-11","","21.37"
"FACATATIVA - URBANO","2025-10-10","","22.76291667"
"FACATATIVA - URBANO","2025-10-09","","23.60958333"
"FACATATIVA - URBANO","2025-10-08","","20.0575"
"FACATATIVA - URBANO","2025-10-07","","23.92958333"
"FACATATIVA - URBANO","2025-10-06","","22.58458333"
"FACATATIVA - URBANO","2025-10-05","","20.52166667"
"FACATATIVA - URBANO","2025-10-04","","22.86"
"FACATATIVA - URBANO","2025-10-03","","28.50708333"
"FACATATIVA - URBANO","2025-10-02","","38.09166667"
"FACATATIVA - URBANO","2025-10-01","","23.94916667"
"FACATATIVA - URBANO","2025-09-30","","22.87583333"
"FACATATIVA - URBANO","2025-09-29","","24.2525"
"FACATATIVA - URBANO","2025-09-28","","21.41833333"
"FACATATIVA - URBANO","2025-09-27","","24.60541667"
"FACATATIVA - URBANO","2025-09-26","","26.01458333"
"FACATATIVA - URBANO","2025-09-25","","34.55875"
"FACATATIVA - URBANO","2025-09-24","","46.10541667"
"FACATATIVA - URBANO","2025-09-23","","41.585"
"FACATATIVA - URBANO","2025-09-22","","41.86291667"
"FACATATIVA - URBANO","2025-09-21","","39.36333333"
"FACATATIVA - URBANO","2025-09-20","","42.1"
"FACATATIVA - URBANO","2025-09-19","","36.40666667"
"FACATATIVA - URBANO","2025-09-18","","24.84041667"
"FACATATIVA - URBANO","2025-09-17","","23.98125"
"FACATATIVA - URBANO","2025-09-16","","22.9125"
"FACATATIVA - URBANO","2025-09-15","","22.52666667"
"FACATATIVA - URBANO","2025-09-14","","21.0575"
"FACATATIVA - URBANO","2025-09-13","","35.48375"
"FACATATIVA - URBANO","2025-09-12","","35.37791667"
"FACATATIVA - URBANO","2025-09-11","","30.41916667"
"FACATATIVA - URBANO","2025-09-10","","23.10625"
"FACATATIVA - URBANO","2025-09-09","","18.71291667"
"FACATATIVA - URBANO","2025-09-08","","22.27125"
"FACATATIVA - URBANO","2025-09-07","","20.13583333"
"FACATATIVA - URBANO","2025-09-06","","21.92458333"
"FACATATIVA - URBANO","2025-09-05","","20.68708333"
"FACATATIVA - URBANO","2025-09-04","","23.08833333"
"FACATATIVA - URBANO","2025-09-03","","22.14291667"
"FACATATIVA - URBANO","2025-09-02","","22.84833333"
"FACATATIVA - URBANO","2025-09-01","","21.17166667"
"FACATATIVA - URBANO","2025-08-31","","26.36833333"
"FACATATIVA - URBANO","2025-08-30","","29.02565217"
"FACATATIVA - URBANO","2025-08-29","","23.67791667"
"FACATATIVA - URBANO","2025-08-28","","32.86875"
"FACATATIVA - URBANO","2025-08-27","","46.985"
"FACATATIVA - URBANO","2025-08-26","","40.49772727"
"FACATATIVA - URBANO","2025-08-25","","42.8625"
